'step' ,'val'
step 1 ,  331.88376235961914 
step 2 ,  381.127379655838 
step 3 ,  2369.9763691425323 
step 4 ,  2760.819395542145 
step 5 ,  2821.779760837555 
step 6 ,  2949.956168651581 
step 7 ,  2966.995142221451 
step 8 ,  2968.862083673477 
step 9 ,  3001.8758113384247 
step 10 ,  3013.7391905784607 
step 11 ,  3023.8014245033264 
step 12 ,  3059.0564720630646 
step 13 ,  3106.2644102573395 
step 14 ,  3109.1431601047516 
step 15 ,  3112.045595884323 
step 16 ,  3114.8976922035217 
step 17 ,  3116.318351984024 
step 18 ,  3123.4447886943817 
step 19 ,  3126.230765104294 
step 20 ,  3128.9325802326202 
step 21 ,  3133.0889658927917 
step 22 ,  3134.5450739860535 
step 23 ,  3136.0270528793335 
step 24 ,  3141.3848090171814 
step 25 ,  3144.075681447983 
step 26 ,  3149.3407020568848 
step 27 ,  3157.352301120758 
step 28 ,  3159.961635351181 
step 29 ,  3163.146364927292 
step 30 ,  3186.063244342804 
step 31 ,  3188.571850299835 
step 32 ,  3237.664232492447 
step 33 ,  3248.616902589798 
step 34 ,  3255.819506406784 
step 35 ,  3259.3400411605835 
step 36 ,  3266.5821793079376 
step 37 ,  3274.7215106487274 
step 38 ,  3277.0456051826477 
step 39 ,  3285.219316005707 
step 40 ,  3366.515916109085 
step 41 ,  3373.7962164878845 
step 42 ,  3381.1348452568054 
step 43 ,  3390.6787164211273 
step 44 ,  3393.8091189861298 
step 45 ,  3394.865914583206 
step 46 ,  3404.93177485466 
step 47 ,  3406.8703150749207 
step 48 ,  3409.6039910316467 
step 49 ,  3410.504981994629 
step 50 ,  3416.789887189865 
step 51 ,  3426.1021795272827 
step 52 ,  3430.841824054718 
step 53 ,  3433.4893515110016 
step 54 ,  3440.444659948349 
step 55 ,  3448.132525920868 
step 56 ,  3450.7824187278748 
step 57 ,  3455.1418817043304 
step 58 ,  3458.5088505744934 
step 59 ,  3467.75767827034 
step 60 ,  3494.2887120246887 
step 61 ,  3495.930494070053 
step 62 ,  3498.3096623420715 
step 63 ,  3502.3351123332977 
step 64 ,  3504.054263830185 
step 65 ,  3505.6263201236725 
step 66 ,  3507.1485466957092 
step 67 ,  3510.9642748832703 
step 68 ,  3513.3005459308624 
step 69 ,  3514.7891552448273 
step 70 ,  3516.2986426353455 
step 71 ,  3518.5809891223907 
step 72 ,  3520.1780483722687 
step 73 ,  3522.4615478515625 
step 74 ,  3523.9704072475433 
step 75 ,  3532.022714614868 
step 76 ,  3534.2181112766266 
step 77 ,  3540.8806195259094 
step 78 ,  3544.5864465236664 
step 79 ,  3550.2834465503693 
step 80 ,  3556.3073699474335 
step 81 ,  3565.479578971863 
step 82 ,  3570.4292662143707 
step 83 ,  3571.802516937256 
step 84 ,  3573.867785215378 
step 85 ,  3584.100950241089 
step 86 ,  3588.057741880417 
step 87 ,  3589.352771282196 
step 88 ,  3591.9825303554535 
step 89 ,  3593.331219434738 
step 90 ,  3595.305159807205 
step 91 ,  3598.5492491722107 
step 92 ,  3604.574049472809 
step 93 ,  3605.938395500183 
step 94 ,  3607.840785741806 
step 95 ,  3609.1130442619324 
step 96 ,  3610.385050535202 
step 97 ,  3611.684224843979 
step 98 ,  3613.596601963043 
step 99 ,  3616.8680353164673 
step 100 ,  3618.7069325447083 
step 101 ,  3619.3107657432556 
step 102 ,  3620.5811467170715 
step 103 ,  3623.389261484146 
step 104 ,  3624.929120540619 
step 105 ,  3626.383371114731 
step 106 ,  3628.163666009903 
step 107 ,  3629.35839509964 
step 108 ,  3631.2758061885834 
step 109 ,  3633.0514571666718 
step 110 ,  3634.8290100097656 
step 111 ,  3637.15749168396 
step 112 ,  3641.8461470603943 
step 113 ,  3643.0451469421387 
step 114 ,  3647.2096185684204 
step 115 ,  3648.3491744995117 
step 116 ,  3649.4661524295807 
step 117 ,  3653.3833105564117 
step 118 ,  3654.5712354183197 
step 119 ,  3655.6819002628326 
step 120 ,  3657.8919298648834 
step 121 ,  3661.754899740219 
step 122 ,  3662.9829914569855 
step 123 ,  3664.682460308075 
step 124 ,  3666.3387410640717 
step 125 ,  3667.466476202011 
step 126 ,  3669.090820789337 
step 127 ,  3672.148474216461 
step 128 ,  3675.026594877243 
step 129 ,  3676.6517593860626 
step 130 ,  3678.249477148056 
step 131 ,  3685.320508956909 
step 132 ,  3689.3764951229095 
step 133 ,  3691.8488249778748 
step 134 ,  3696.270156145096 
step 135 ,  3700.953711748123 
step 136 ,  3701.5495567321777 
step 137 ,  3703.6227128505707 
step 138 ,  3707.630981683731 
step 139 ,  3708.645661354065 
step 140 ,  3709.6948685646057 
step 141 ,  3711.860182762146 
step 142 ,  3713.3784563541412 
step 143 ,  3715.8807034492493 
step 144 ,  3717.365993976593 
step 145 ,  3719.3680341243744 
step 146 ,  3720.3614931106567 
step 147 ,  3724.3276879787445 
step 148 ,  3726.8580899238586 
step 149 ,  3727.428409576416 
step 150 ,  3729.352069377899 
step 151 ,  3729.8463864326477 
step 152 ,  3733.2158188819885 
step 153 ,  3734.231567621231 
step 154 ,  3736.1775596141815 
step 155 ,  3739.987292766571 
step 156 ,  3746.8399946689606 
step 157 ,  3748.25843167305 
step 158 ,  3748.719950199127 
step 159 ,  3751.0879850387573 
step 160 ,  3752.509763240814 
step 161 ,  3757.4486377239227 
step 162 ,  3759.5297169685364 
step 163 ,  3762.338826417923 
step 164 ,  3764.6169934272766 
step 165 ,  3766.0020496845245 
step 166 ,  3767.3615288734436 
step 167 ,  3772.2749242782593 
step 168 ,  3774.1302647590637 
step 169 ,  3776.082290649414 
step 170 ,  3777.8765892982483 
step 171 ,  3780.0757308006287 
step 172 ,  3781.8860368728638 
step 173 ,  3782.7878165245056 
step 174 ,  3784.5657091140747 
step 175 ,  3787.171162366867 
step 176 ,  3787.6421942710876 
step 177 ,  3790.714841604233 
step 178 ,  3793.8557670116425 
step 179 ,  3795.1396527290344 
step 180 ,  3798.9855260849 
step 181 ,  3799.435636997223 
step 182 ,  3800.7461001873016 
step 183 ,  3802.8545956611633 
step 184 ,  3804.12447309494 
step 185 ,  3805.8026382923126 
step 186 ,  3806.2624340057373 
step 187 ,  3807.65541100502 
step 188 ,  3811.3524901866913 
step 189 ,  3813.0268774032593 
step 190 ,  3814.7011008262634 
step 191 ,  3816.3028304576874 
step 192 ,  3817.14688873291 
step 193 ,  3817.5978503227234 
step 194 ,  3819.374745607376 
step 195 ,  3823.2939326763153 
step 196 ,  3825.7300157546997 
step 197 ,  3827.710935354233 
step 198 ,  3830.4806253910065 
step 199 ,  3831.3304328918457 
step 200 ,  3831.7311284542084 
step 201 ,  3841.5793495178223 
step 202 ,  3843.9529259204865 
step 203 ,  3845.4571261405945 
step 204 ,  3846.624702692032 
step 205 ,  3848.932732105255 
step 206 ,  3851.235031604767 
step 207 ,  3852.0192873477936 
step 208 ,  3853.604036092758 
step 209 ,  3854.9052288532257 
step 210 ,  3855.829537630081 
step 211 ,  3859.7484877109528 
step 212 ,  3860.8874156475067 
step 213 ,  3862.3681166172028 
step 214 ,  3862.753426551819 
step 215 ,  3865.5475013256073 
step 216 ,  3867.195842027664 
step 217 ,  3868.6855552196503 
step 218 ,  3869.051132440567 
step 219 ,  3870.5754611492157 
step 220 ,  3871.4220774173737 
step 221 ,  3872.576262950897 
step 222 ,  3875.2389829158783 
step 223 ,  3878.123778820038 
step 224 ,  3879.9299561977386 
step 225 ,  3880.6804082393646 
step 226 ,  3882.5137650966644 
step 227 ,  3883.27059674263 
step 228 ,  3883.619511127472 
step 229 ,  3884.892124891281 
step 230 ,  3887.2024824619293 
step 231 ,  3888.0535173416138 
step 232 ,  3889.5752160549164 
step 233 ,  3892.07488489151 
step 234 ,  3894.2211582660675 
step 235 ,  3895.647073507309 
step 236 ,  3898.0934026241302 
step 237 ,  3898.4378192424774 
step 238 ,  3900.1919996738434 
step 239 ,  3902.751938343048 
step 240 ,  3903.8598442077637 
step 241 ,  3904.2141613960266 
step 242 ,  3905.612680912018 
step 243 ,  3905.9859461784363 
step 244 ,  3908.08834028244 
step 245 ,  3909.8375341892242 
step 246 ,  3911.5733942985535 
step 247 ,  3912.9458043575287 
step 248 ,  3913.9795758724213 
step 249 ,  3917.0282480716705 
step 250 ,  3920.138892889023 
step 251 ,  3921.176347732544 
step 252 ,  3921.9029722213745 
step 253 ,  3922.5684299468994 
step 254 ,  3924.9320640563965 
step 255 ,  3925.601901292801 
step 256 ,  3926.3111622333527 
step 257 ,  3927.9517843723297 
step 258 ,  3928.3072361946106 
step 259 ,  3929.3313739299774 
step 260 ,  3931.98233962059 
step 261 ,  3934.742837190628 
step 262 ,  3936.8173863887787 
step 263 ,  3938.4761514663696 
step 264 ,  3939.4619719982147 
step 265 ,  3940.459576368332 
step 266 ,  3941.503667831421 
step 267 ,  3942.180808544159 
step 268 ,  3943.824362516403 
step 269 ,  3944.5093772411346 
step 270 ,  3947.0875895023346 
step 271 ,  3947.745609998703 
step 272 ,  3948.082137107849 
step 273 ,  3948.7401106357574 
step 274 ,  3949.3960206508636 
step 275 ,  3952.1571204662323 
step 276 ,  3954.3659245967865 
step 277 ,  3956.3440470695496 
step 278 ,  3958.2474660873413 
step 279 ,  3959.233833551407 
step 280 ,  3961.776374578476 
step 281 ,  3963.4253776073456 
step 282 ,  3963.737347841263 
step 283 ,  3964.444337129593 
step 284 ,  3966.327460050583 
step 285 ,  3968.3285307884216 
step 286 ,  3969.2800097465515 
step 287 ,  3970.885999917984 
step 288 ,  3971.2136578559875 
step 289 ,  3971.5664649009705 
step 290 ,  3972.2215790748596 
step 291 ,  3973.7966306209564 
step 292 ,  3975.350216627121 
step 293 ,  3976.003044128418 
step 294 ,  3978.1318554878235 
step 295 ,  3979.0940234661102 
step 296 ,  3979.4029698371887 
step 297 ,  3982.893921136856 
step 298 ,  3983.9524047374725 
step 299 ,  3984.603316783905 
step 300 ,  3986.7517309188843 
step 301 ,  3989.721440076828 
step 302 ,  3991.66907286644 
step 303 ,  3991.985297203064 
step 304 ,  3992.3158299922943 
step 305 ,  3994.4858570098877 
step 306 ,  3995.1085579395294 
step 307 ,  3997.258534193039 
step 308 ,  3997.5914487838745 
step 309 ,  3997.94287443161 
step 310 ,  4003.183313369751 
step 311 ,  4004.126514196396 
step 312 ,  4004.7753896713257 
step 313 ,  4006.8722610473633 
step 314 ,  4008.3639075756073 
step 315 ,  4010.482365131378 
step 316 ,  4011.414912700653 
step 317 ,  4012.3262662887573 
step 318 ,  4012.657170534134 
step 319 ,  4014.4751806259155 
step 320 ,  4016.2908029556274 
step 321 ,  4018.348893404007 
step 322 ,  4019.392297744751 
step 323 ,  4020.4290630817413 
step 324 ,  4025.443784713745 
step 325 ,  4027.2293288707733 
step 326 ,  4029.0422904491425 
step 327 ,  4030.1993193626404 
step 328 ,  4031.8495094776154 
step 329 ,  4032.745433330536 
step 330 ,  4033.3492782115936 
step 331 ,  4033.6709382534027 
step 332 ,  4034.5610299110413 
step 333 ,  4035.1698892116547 
step 334 ,  4036.946927547455 
step 335 ,  4038.384343147278 
step 336 ,  4038.961616754532 
step 337 ,  4039.586015224457 
step 338 ,  4039.8611686229706 
step 339 ,  4040.7913596630096 
step 340 ,  4041.9421117305756 
step 341 ,  4042.568117618561 
step 342 ,  4042.862571001053 
step 343 ,  4044.6329152584076 
step 344 ,  4046.0448541641235 
step 345 ,  4046.678853750229 
step 346 ,  4047.6275374889374 
step 347 ,  4048.233367919922 
step 348 ,  4049.3901875019073 
step 349 ,  4051.1111204624176 
step 350 ,  4051.7283885478973 
step 351 ,  4052.8788270950317 
step 352 ,  4053.7597148418427 
step 353 ,  4054.937818288803 
step 354 ,  4055.21018242836 
step 355 ,  4055.5303065776825 
step 356 ,  4056.3963165283203 
step 357 ,  4056.7187778949738 
step 358 ,  4057.0334181785583 
step 359 ,  4057.316269636154 
step 360 ,  4058.1800417900085 
step 361 ,  4058.4716057777405 
